name,description,CategoryName,img,options,featured,quantity
Full Voile PAGG CC39 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433258/CC_39_oirdig.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC30 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433258/CC_30_p5ndfy.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC29 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433258/CC_29_acz0bl.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC46 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433258/CC_46_tuao1z.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC53 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433258/CC_53_r2hg4q.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC806 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433379/CC_806_nmas1h.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC867 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433380/CC_867_qwc8an.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC62 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433382/CC_62_neohkz.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC85 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433382/CC_85_vudp15.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC91 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433383/CC_91_mrylbr.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CCA5 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433528/CC_A5_mln8up.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC1128 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433528/CC_1128_yy6mf7.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC1182 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433528/CC_1182_nf0txi.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC8811 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433529/CC_8811_mgj7ou.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC6007 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751433529/CC_6007_hmkb8s.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CCMv18 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434356/CC_MV18_ghtoey.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC35 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434356/CC35_rtquco.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC11127 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434356/CC11127_qqgcdn.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CC6010 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434357/CC6010_vm1p6v.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CCGBSPL | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434357/F74_GBSPL_kqy27f.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CCAP622 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434358/CC_AP622_xhmvj5.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Full Voile PAGG CCM2052 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434358/CC_M2052_ssvpum.jpg,"[ { ""8"": ""45"" } ]",FALSE,10
Parna Blue and White | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434358/PARNA_bl_wh_xs9ufo.jpg,"[ { ""1"": ""6"" } ]",TRUE,10
Parna Black and White | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434358/PARNA_bk_wh_of3bny.jpg,"[ { ""1"": ""6"" } ]",FALSE,10
Parna Black and Blue| Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751434357/PARNA_bk_bl_xprgqj.jpg,"[ { ""1"": ""6"" } ]",FALSE,10
